"filename", "language", "source.markdown.math", "Python", "JSON", "Shell Script", "comment", "blank", "total"
"/home/fong/Projects/mini-rag/multi-query/QUICKSTART.md", "source.markdown.math", 94, 0, 0, 0, 0, 29, 123
"/home/fong/Projects/mini-rag/multi-query/README.md", "source.markdown.math", 346, 0, 0, 0, 0, 114, 460
"/home/fong/Projects/mini-rag/multi-query/TESTING.md", "source.markdown.math", 65, 0, 0, 0, 0, 26, 91
"/home/fong/Projects/mini-rag/multi-query/example-queries.json", "JSON", 0, 0, 11, 0, 0, 1, 12
"/home/fong/Projects/mini-rag/multi-query/main-d1f454371402.py", "Python", 0, 276, 0, 0, 29, 64, 369
"/home/fong/Projects/mini-rag/multi-query/run-multiquery.sh", "Shell Script", 0, 0, 0, 10, 5, 6, 21
"/home/fong/Projects/mini-rag/multi-query/src/__init__.py", "Python", 0, 1, 0, 0, 1, 1, 3
"/home/fong/Projects/mini-rag/multi-query/src/config.py", "Python", 0, 31, 0, 0, 5, 8, 44
"/home/fong/Projects/mini-rag/multi-query/src/parallel_query.py", "Python", 0, 87, 0, 0, 27, 20, 134
"/home/fong/Projects/mini-rag/multi-query/src/result_aggregator.py", "Python", 0, 161, 0, 0, 43, 41, 245
"/home/fong/Projects/mini-rag/multi-query/src/source_manager.py", "Python", 0, 130, 0, 0, 53, 38, 221
"/home/fong/Projects/mini-rag/multi-query/src/standalone_loader.py", "Python", 0, 59, 0, 0, 37, 23, 119
"/home/fong/Projects/mini-rag/multi-query/src/utils.py", "Python", 0, 36, 0, 0, 12, 13, 61
"Total", "-", 505, 781, 11, 10, 212, 384, 1903